,postal,address
0,S360001, 1Blk 1 Upper Aljunied Lane #01-02 S'360001
1,S760101," 24 Hours 2Blk 101 Yishun Ave 5, #01- 55 S'760101."
2,S151116, 24 Hours 3Blk 116 Bukit Merah View #01-253 Singapore 151116
3,S470121,"6.30am to 11.00pm 4Blk 121 Bedok Reservoir Rd, #01-210 S'470121"
4,S460123, 24 Hours 5Blk 123 Bedok North Street 2 #01-142 S'460123
5,S730131, 24 Hours 6Blk 131 Marsiling Rise #01- 206 S'730131
6,S600132, 24 Hours 7Blk 132 Jurong Gateway Road #01-273 S'600132
7,S530134,6.00am to 12.00am 8Blk 134 Lor Ah Soo #01- 454 Singapore 530134
8,S521138,"7.00am to 11.00pm 9Blk 138 Tampines St. 11, #01-116 S'521138"
9,S680143," 24 Hours 10Blk 143 Teck Whye Lane, #01-243 S'680143"
10,S350146,"6.00am to 10.00pm 11Blk 146 Potong Pasir Ave 1, #01-127 S'350146."
11,S550147," 24 Hours 12Blk 147 Serangoon North Ave 1, #01-419 S'550147."
12,S188425," 24 Hours 13149 Rochor Road, #B1-22 Fu Lu Shou Complex S'188425."
13,S650150,6.30am to 9.00pm 14Blk 150 Bukit Batok Street 11 #01-246 S'650150
14,S551153,6.00am to 12.00am 15Blk 153A Serangoon North Ave 1 #01-462 Singapore 551153
15,S671163," 24 Hours 16Blk 163A Gangsa Road, #01-01 Multi Storey Car Park S'671163."
16,S738725, 24 Hours 1717 Woodlands Link S'738725
17,S609966, - 1818 Boon Lay Way #01-98 Tradehub 21 S'609966
18,S310184,6.00am to 12.00am 19Blk 184 Toa Payoh Central #01-372 Singapore 310184
19,S733187,6.30am to 11.00pm 20Blk 187C Marsiling Road #01-01 S'733187
20,S560202," 24 Hours 21Blk 202 Ang Mo Kio Ave 3, #01-1690 S'560202"
21,S737854,"5.30am to 11.30pm 2221 Woodlands Close, #01- 23 / 24 Primz BizHub Singapore 737854"
22,S640221, 24 Hours 24Blk 221 Boon Lay Place #01-100 Boon Lay Shopping Centre S'640221
23,S560232," 24 Hours 25Blk 232 Ang Mo Kio Ave 3, #01-1196 S'560232"
24,S760233," 24 Hours10/13/24, 12:01 AM Kimly Group List of Applicable Outlets for Dining Voucher Suppliers | Kimly Group | The flavours of Life https://kimlygroup.sg/kimly-group-list-of-applicable-outlets-for-dining-voucher-sup/ 14/19 26Blk 233 Yishun St 21, #01- 472 S'760233"
